Customer ID,Gender,Age,Married,Number of Dependents,City,Zip Code,Latitude,Longitude,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Customer Status,Churn Category,Churn Reason
CUST-00051,Female,79,No,0,Sacramento,95298,35.609125,-114.134917,7,13,Offer E,Yes,2.98,No,Yes,Fiber Optic,73.4,No,Yes,No,Yes,Yes,No,No,Yes,Month-to-Month,No,Credit Card,80.12,976.73,0.0,0,37.86,1014.59,Churned,Competitor,Competitor had better devices
CUST-00052,Male,81,No,0,Bakersfield,95845,37.012765,-124.279425,1,72,Offer B,Yes,40.65,Yes,No,None,0.0,No,No,No,No,No,No,No,No,Two Year,Yes,Bank Withdrawal,56.48,3828.92,0.0,0,2843.88,6672.8,Stayed,,
CUST-00053,Female,27,No,0,Fresno,90360,39.2063,-121.334853,5,43,Offer A,Yes,,No,No,None,0.0,No,No,No,No,No,No,No,No,Two Year,Yes,Mailed Check,105.66,3980.13,0.0,20,845.17,4845.3,Stayed,,
CUST-00054,Male,57,Yes,1,Fresno,90285,41.006125,-121.601799,7,13,None,Yes,28.04,Yes,Yes,Cable,14.2,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,27.0,366.85,0.0,0,386.95,753.8,Stayed,,
CUST-00055,Female,41,Yes,0,Long Beach,93317,37.190157,-120.795483,9,35,Offer D,No,5.42,Yes,Yes,Cable,27.1,No,,No,No,Yes,No,No,Yes,Month-to-Month,No,Mailed Check,102.46,3509.98,0.0,0,186.22,3696.2,Stayed,,
CUST-00056,Female,61,No,0,Fresno,93278,33.534488,-122.101804,8,11,None,Yes,19.93,No,Yes,,140.4,Yes,No,Yes,No,No,No,Yes,Yes,Month-to-Month,No,Bank Withdrawal,93.89,,0.0,0,212.37,1183.19,Churned,Dissatisfaction,Product dissatisfaction
CUST-00057,Male,77,No,0,Fresno,92632,36.002378,-121.751667,0,21,Offer B,Yes,21.75,No,Yes,DSL,125.9,No,No,No,Yes,Yes,,No,Yes,Month-to-Month,Yes,Bank Withdrawal,22.4,410.44,0.0,0,479.71,890.15,Churned,Price,Service attitude
CUST-00058,Male,79,Yes,0,Oakland,91758,37.728438,-121.820158,8,72,Offer B,No,33.47,Yes,Yes,Cable,,No,Yes,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,53.21,3716.79,0.0,10,2622.07,6348.86,Churned,Dissatisfaction,Competitor had better devices
CUST-00059,Male,34,Yes,1,Long Beach,92775,36.466484,-119.240262,7,26,None,Yes,32.88,Yes,Yes,Fiber Optic,143.2,No,No,Yes,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,85.78,1941.88,0.0,0,839.19,2781.07,Churned,Competitor,Competitor had better devices
CUST-00060,Male,82,Yes,0,Riverside,95480,34.272279,-120.433025,5,50,Offer E,Yes,27.44,Yes,Yes,Fiber Optic,87.0,Yes,Yes,No,Yes,No,Yes,,Yes,Month-to-Month,Yes,Credit Card,29.53,1451.97,0.0,20,1421.94,2893.91,Stayed,,
CUST-00061,Male,74,No,0,San Francisco,91523,32.8514,-117.851487,11,49,Offer D,Yes,1.57,No,No,None,0.0,No,No,No,No,No,No,No,No,One Year,No,Credit Card,44.92,2114.18,0.0,10,70.65,2194.83,Stayed,,
CUST-00062,Male,72,Yes,0,Los Angeles,95261,39.030382,-119.150228,4,13,None,Yes,8.08,No,No,None,0.0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,83.59,1036.39,0.0,0,113.09,1149.48,Joined,,
CUST-00063,Male,70,Yes,1,Los Angeles,95788,41.931003,-122.592413,5,39,Offer A,Yes,8.01,Yes,No,None,0.0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,38.18,1321.44,0.0,0,340.04,1661.48,Churned,Competitor,Price too high
CUST-00064,Male,73,Yes,0,Sacramento,91246,41.232463,-116.075532,1,55,Offer A,Yes,44.39,No,Yes,DSL,53.8,Yes,Yes,No,Yes,No,Yes,No,Yes,Month-to-Month,No,Credit Card,26.52,1274.34,0.0,0,2260.48,3534.82,Stayed,,
CUST-00065,Female,26,No,2,San Francisco,91413,38.991074,-119.58917,10,7,Offer D,Yes,45.09,No,Yes,Fiber Optic,29.9,Yes,No,Yes,No,Yes,No,No,No,Month-to-Month,Yes,Credit Card,106.4,760.93,0.0,0,322.45,1083.38,Stayed,,
CUST-00066,Female,39,Yes,0,Long Beach,95450,40.494533,-122.906392,2,43,None,Yes,40.32,No,Yes,Cable,57.7,No,Yes,,Yes,Yes,No,No,No,One Year,No,Credit Card,51.8,2332.9,0.0,0,1726.34,4059.24,Stayed,,
CUST-00067,Male,30,Yes,1,Anaheim,94839,34.929412,-122.76445,8,42,Offer E,Yes,8.74,No,Yes,Cable,64.6,,Yes,No,No,No,No,,No,Month-to-Month,No,Credit Card,30.49,1322.26,0.0,0,377.95,1700.21,Stayed,,
CUST-00068,Female,65,No,2,Riverside,91417,38.413127,-116.211529,2,58,None,Yes,42.01,Yes,Yes,Cable,93.8,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,No,Credit Card,39.46,,0.0,0,2265.56,4405.11,Churned,Competitor,Network reliability
CUST-00069,Female,35,Yes,1,Riverside,90358,33.07574,-117.188871,9,12,None,Yes,9.38,No,Yes,DSL,124.1,,No,Yes,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,28.23,316.72,0.0,0,117.61,434.33,Churned,Attitude,Competitor had better devices
CUST-00070,Female,57,Yes,0,Bakersfield,93466,39.218247,-119.232109,6,13,Offer C,Yes,27.73,No,Yes,Fiber Optic,73.7,No,Yes,No,No,Yes,No,No,No,Month-to-Month,No,Credit Card,117.63,1338.32,0.0,0,349.94,1688.26,Churned,Price,Network reliability
CUST-00071,Female,34,No,0,Sacramento,96049,41.713787,-121.316752,10,12,None,Yes,36.69,No,Yes,Cable,193.6,No,No,Yes,Yes,Yes,No,No,Yes,One Year,No,Bank Withdrawal,34.68,383.77,0.0,0,450.86,834.63,Stayed,,
CUST-00072,Male,32,Yes,0,San Francisco,94136,40.677574,-119.710571,3,38,Offer D,Yes,2.58,No,Yes,Fiber Optic,110.6,No,Yes,Yes,No,No,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,61.91,2045.3,0.0,0,99.26,2144.56,Churned,Dissatisfaction,Product dissatisfaction
CUST-00073,Female,32,No,0,Los Angeles,92950,37.577188,-117.880571,11,3,None,Yes,29.9,Yes,Yes,Fiber Optic,175.9,No,Yes,No,No,Yes,Yes,No,Yes,Two Year,Yes,Mailed Check,25.41,79.66,10.43,0,96.67,165.9,Stayed,,
CUST-00074,Male,80,Yes,0,Oakland,93142,39.993032,-115.355464,10,72,Offer E,Yes,12.56,No,Yes,DSL,,Yes,No,No,No,No,No,No,Yes,Two Year,Yes,Credit Card,50.79,3240.74,0.0,0,899.97,4140.71,Stayed,,
CUST-00075,Female,56,No,1,Riverside,92877,41.467039,-118.718974,8,62,Offer D,Yes,24.89,Yes,Yes,Cable,14.4,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,No,Credit Card,116.76,6706.57,42.99,0,1682.58,8346.16,Churned,Competitor,Price too high
CUST-00076,Female,30,Yes,0,San Diego,94554,34.552167,-121.621953,11,31,Offer D,Yes,19.2,Yes,Yes,Cable,96.9,Yes,No,No,Yes,Yes,No,Yes,No,Month-to-Month,Yes,Bank Withdrawal,40.29,1234.2,0.0,0,538.95,1773.15,Joined,,
CUST-00077,Female,49,No,0,Long Beach,96065,40.035956,-124.055505,3,72,Offer A,Yes,34.33,Yes,Yes,DSL,,Yes,No,Yes,No,No,Yes,Yes,No,Month-to-Month,No,Credit Card,55.87,3749.86,0.0,0,2400.37,6150.23,Stayed,,
CUST-00078,Male,26,Yes,0,Fresno,90197,35.063546,-122.675267,9,37,Offer B,Yes,24.46,No,Yes,,181.8,Yes,No,No,Yes,Yes,No,,No,Month-to-Month,Yes,Bank Withdrawal,83.97,3141.81,0.0,0,906.94,4048.75,Churned,Dissatisfaction,Price too high
CUST-00079,Female,57,Yes,0,Fresno,91875,40.831001,-117.738153,9,24,Offer B,Yes,15.08,No,No,None,0.0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Mailed Check,83.98,1718.69,0.0,0,328.28,2046.97,Churned,Competitor,Competitor had better devices
CUST-00080,Male,37,No,1,San Francisco,95831,33.434368,-122.831456,5,68,Offer E,No,45.52,Yes,Yes,Cable,186.7,Yes,Yes,Yes,Yes,No,No,No,No,One Year,Yes,Mailed Check,86.56,6057.06,0.0,0,3211.66,9268.72,Stayed,,
CUST-00081,Female,80,No,2,Anaheim,90938,34.193075,-119.491989,11,64,None,Yes,47.95,No,Yes,Cable,,No,No,,No,No,No,Yes,Yes,Two Year,No,Mailed Check,75.25,4311.97,0.0,0,2910.26,7222.23,Stayed,,
CUST-00082,Male,61,Yes,2,Sacramento,92195,39.345856,-117.230868,1,16,Offer A,Yes,40.1,Yes,Yes,Cable,45.7,No,No,Yes,Yes,Yes,Yes,No,Yes,Month-to-Month,No,Mailed Check,86.34,1208.53,0.0,10,578.69,1797.22,Joined,,
CUST-00083,Female,55,No,1,Riverside,93531,34.160386,-121.294461,6,18,Offer E,Yes,29.04,No,Yes,Fiber Optic,113.9,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,93.99,1623.5,0.0,0,509.98,2133.48,Churned,Attitude,Competitor had better devices
CUST-00084,Male,77,Yes,0,Los Angeles,94126,34.001516,-117.541299,2,68,Offer A,Yes,44.22,No,Yes,Cable,152.4,No,Yes,No,Yes,No,No,No,Yes,Two Year,Yes,Mailed Check,46.87,3162.04,0.0,0,2973.15,6135.19,Stayed,,
CUST-00085,Male,65,No,0,San Francisco,95798,37.776935,-118.456851,0,40,Offer A,Yes,30.08,No,Yes,Fiber Optic,135.0,No,Yes,No,Yes,Yes,No,No,Yes,One Year,Yes,Bank Withdrawal,52.81,2063.92,0.0,10,1315.93,3389.85,Stayed,,
CUST-00086,Female,35,Yes,0,Anaheim,90390,40.432379,-119.935033,11,58,Offer B,Yes,7.44,No,Yes,Fiber Optic,21.3,No,Yes,Yes,No,No,Yes,No,Yes,One Year,Yes,Bank Withdrawal,24.26,,0.0,30,399.79,1702.88,Stayed,,
CUST-00087,Male,33,No,0,Oakland,92927,35.050441,-115.168647,6,45,Offer E,Yes,0.87,,No,None,0.0,No,No,No,No,No,No,No,No,One Year,Yes,Bank Withdrawal,22.85,1033.41,0.0,0,37.31,1070.72,Stayed,,
CUST-00088,Female,72,Yes,0,Riverside,95241,40.490813,-117.302588,4,53,None,Yes,36.3,Yes,Yes,Fiber Optic,139.1,Yes,Yes,No,No,No,,No,Yes,Two Year,No,Bank Withdrawal,108.93,5031.24,0.0,0,2104.08,7135.32,Stayed,,
CUST-00089,Female,56,Yes,1,San Francisco,90347,40.175557,-120.749791,10,27,Offer E,Yes,37.62,,Yes,Fiber Optic,108.0,No,Yes,Yes,Yes,No,No,,Yes,Month-to-Month,Yes,Credit Card,100.77,2705.27,0.0,0,1068.46,3773.73,Churned,Dissatisfaction,Price too high
CUST-00090,Female,76,Yes,0,Oakland,92845,38.001501,-116.135649,11,36,None,Yes,46.29,No,Yes,Fiber Optic,11.0,No,No,No,No,Yes,Yes,Yes,No,One Year,Yes,Credit Card,63.16,2384.4,0.0,30,1610.59,4024.99,Churned,Competitor,Network reliability
CUST-00091,Female,79,Yes,0,Sacramento,90119,38.642346,-116.823737,6,68,Offer D,Yes,41.21,Yes,No,None,0.0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,53.0,3306.4,0.0,0,2797.12,6103.52,Stayed,,
CUST-00092,Female,30,No,1,Riverside,94616,32.884191,-116.266487,0,13,None,Yes,31.98,No,Yes,DSL,20.5,No,Yes,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,23.22,278.01,0.0,10,447.71,735.72,Stayed,,
CUST-00093,Female,23,No,0,San Francisco,91239,35.987788,-117.834058,4,51,None,Yes,,No,Yes,DSL,41.0,No,No,No,Yes,No,No,No,No,Month-to-Month,No,Credit Card,34.44,1518.6,0.0,0,515.29,2033.89,Stayed,,
CUST-00094,Female,77,No,0,Sacramento,92781,35.002252,-120.554546,1,48,Offer D,Yes,,No,Yes,Fiber Optic,181.4,No,Yes,Yes,No,No,Yes,,Yes,Month-to-Month,Yes,Bank Withdrawal,44.22,2091.42,0.0,0,1394.65,3486.07,Stayed,,
CUST-00095,Female,31,Yes,0,Fresno,92128,33.925037,-120.874783,0,60,Offer B,Yes,21.73,Yes,Yes,Fiber Optic,66.4,No,No,Yes,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,81.63,4808.31,0.0,0,1195.17,6003.48,Stayed,,
